Distance       GT             LRR-CED(D)     LRR-CED(U)     FBP-ConvNet    
16             0.01201776     0.01227074     0.01180359     0.01189375     
17             0.0116376      0.01191543     0.01162154     0.01187867     
18             0.01145808     0.01167661     0.01145266     0.01177263     
19             0.01143696     0.01152037     0.01129579     0.0116899      
20             0.01171152     0.01157542     0.0113079      0.01159868     
21             0.01213392     0.01199306     0.01135937     0.01155838     
22             0.01251408     0.01212938     0.01147905     0.0115093      
23             0.01268304     0.01232264     0.01187006     0.01153666     
24             0.01282032     0.01245401     0.01219746     0.01173416     
25             0.01265136     0.01258845     0.01247616     0.01188338     
26             0.01240848     0.01269632     0.01261631     0.01219124     
27             0.01260912     0.01286947     0.0126719      0.01235202     
28             0.01271472     0.01288765     0.01260387     0.01255196     
29             0.0125352      0.01286687     0.01264423     0.01251924     
30             0.01215504     0.01286905     0.01262213     0.01253441     
31             0.01235568     0.01269426     0.01258423     0.0121024      
32             0.01259856     0.01271576     0.01243716     0.01290512     
33             0.01282032     0.0129111      0.01238436     0.01220915     
34             0.012852       0.01291773     0.01233371     0.01234984     
35             0.01272528     0.01289897     0.01232474     0.01236174     
36             0.01286256     0.0127941      0.01211612     0.01235241     
37             0.01298928     0.01269115     0.01211432     0.01230699     
38             0.01293648     0.01297984     0.01199819     0.01225135     
39             0.01273584     0.01286496     0.01197985     0.01230666     
40             0.01270416     0.01270756     0.0118927      0.01248839     
41             0.01282032     0.01272678     0.011789       0.01234668     
42             0.01297872     0.01261147     0.01154291     0.01238596     
43             0.01283088     0.01259521     0.01152256     0.01226184     
44             0.01297872     0.01256668     0.01157629     0.0126105      
45             0.01308432     0.0126392      0.01172864     0.01225892     
46             0.01280976     0.01304241     0.01207931     0.01230612     
47             0.01294704     0.01288944     0.01241291     0.0123665      
48             0.01302096     0.01283068     0.01250746     0.01231474     
49             0.01276752     0.01268817     0.01254762     0.01251996     
50             0.012852       0.01263017     0.01251282     0.01268691     
51             0.012852       0.01402174     0.01247865     0.0127463      
52             0.01287312     0.01690762     0.01293721     0.01359683     
53             0.01515408     0.01923395     0.01502296     0.0156185      
54             0.01981104     0.01957571     0.0180893      0.01910418     
55             0.02020176     0.01867123     0.01907222     0.02067661     
56             0.0159672      0.01727943     0.01755452     0.0180186      
57             0.01412976     0.01612583     0.01452476     0.01510775     
58             0.01392912     0.01530161     0.013312       0.01406908     
59             0.01373904     0.01512435     0.01341799     0.01409826     
60             0.01358064     0.01468202     0.0134341      0.01385224     
61             0.01313712     0.01449944     0.01378258     0.0138225      
62             0.01298928     0.01462499     0.01367674     0.01350629     
63             0.01312656     0.01426085     0.01369109     0.01320732     
64             0.01397136     0.01390942     0.01368837     0.01323515     
65             0.01510128     0.01410031     0.01405936     0.01353168     
66             0.01584048     0.01474451     0.01486677     0.01439616     
67             0.01787856     0.01748724     0.01670789     0.0152213      
68             0.01928304     0.01916846     0.0178012      0.01696771     
69             0.01726608     0.01733227     0.0165605      0.0170747      
70             0.0142776      0.0147527      0.01447846     0.01618022     
71             0.01291536     0.0129076      0.01301466     0.01500496     
72             0.01293648     0.01251521     0.01276565     0.01379949     
73             0.01305264     0.01278096     0.01277273     0.01324409     
74             0.01312656     0.01282765     0.01277202     0.01298699     
75             0.01291536     0.01282332     0.01288955     0.01279849     
76             0.0132744      0.01267732     0.01277175     0.01300907     
77             0.01313712     0.01269084     0.01278571     0.01259425     
78             0.01271472     0.01297206     0.01280296     0.01288739     
79             0.01280976     0.01305705     0.01287267     0.01290554     
80             0.01292592     0.01283522     0.01279815     0.01292884     
81             0.012852       0.01283953     0.01279692     0.01290065     
82             0.0130104      0.01283663     0.01278699     0.01294255     
83             0.01292592     0.01272251     0.01283466     0.01274723     
84             0.01261968     0.01266018     0.01273386     0.01278809     
85             0.01271472     0.01258641     0.01277558     0.01280338     
86             0.01292592     0.01277816     0.01273322     0.01279682     
87             0.01307376     0.01275148     0.01270128     0.01283318     
88             0.01291536     0.01283654     0.01275682     0.01293138     
89             0.01294704     0.01282107     0.01271729     0.01294589     
90             0.012852       0.01264586     0.01274573     0.01301372     
91             0.01283088     0.01262327     0.01271608     0.01297855     
92             0.0130104      0.01254187     0.01274887     0.01290727     
93             0.0130632      0.01249782     0.01275852     0.01305908     
94             0.01291536     0.01294198     0.0127525      0.01284814     
95             0.01278864     0.01244613     0.01273923     0.01294667     
96             0.01291536     0.01244437     0.01268681     0.01277214     
97             0.01312656     0.01245288     0.01260395     0.01276278     
98             0.01282032     0.01242457     0.01259179     0.01304841     
99             0.01233456     0.01312376     0.01256952     0.01345566     
100            0.0122712      0.01456162     0.01278903     0.01414913     
101            0.01328496     0.01626513     0.01434603     0.0152483      
102            0.01789968     0.01724834     0.01672944     0.016478       
103            0.0201384      0.01656529     0.01730531     0.01892        
104            0.01685424     0.01510458     0.01543853     0.01836377     
105            0.0142776      0.0144998      0.01424357     0.01525399     
106            0.01395024     0.01390747     0.01374677     0.01316839     
107            0.01397136     0.01366115     0.01344904     0.01256967     
108            0.01430928     0.01357776     0.01328084     0.01296547     
109            0.01457328     0.01375094     0.01348006     0.01397991     
110            0.01499568     0.01490195     0.01480234     0.01496586     
111            0.01504848     0.01588474     0.01562306     0.01602954     
112            0.01446768     0.0148996      0.01480241     0.01484567     
113            0.01297872     0.01284896     0.0126468      0.01284021     
114            0.01043376     0.00955227     0.00974353     0.00992313     
115            0.00726576     0.00609447     0.00640237     0.00663865     
