Distance       PWLS-TV        GT             LRR-CED(D)     LRR-CED(U)     FBP-ConvNet    
200            0.058          0.021          0.108          0.066          0.084          
201            0.045          0.028          0.101          0.063          0.083          
202            0.045          0.036          0.098          0.063          0.087          
203            0.036          0.047          0.093          0.068          0.09           
204            0.036          0.055          0.084          0.067          0.085          
205            0.025          0.057          0.081          0.068          0.086          
206            0.025          0.052          0.094          0.067          0.089          
207            0.002          0.049          0.125          0.065          0.092          
208            0.016          0.05           0.157          0.074          0.09           
209            0.023          0.058          0.165          0.074          0.092          
210            0.022          0.06           0.153          0.074          0.091          
211            0.019          0.061          0.133          0.074          0.093          
212            0.036          0.085          0.107          0.075          0.095          
213            0.044          0.097          0.091          0.077          0.101          
214            0.045          0.081          0.087          0.071          0.099          
215            0.048          0.065          0.086          0.073          0.093          
216            0.048          0.05           0.083          0.065          0.091          
217            0.052          0.043          0.08           0.061          0.09           
218            0.052          0.039          0.08           0.056          0.084          
219            0.053          0.036          0.079          0.052          0.077          
220            0.048          0.041          0.079          0.051          0.077          
221            0.047          0.046          0.073          0.051          0.081          
222            0.046          0.047          0.078          0.056          0.084          
223            0.046          0.05           0.083          0.057          0.081          
224            0.046          0.049          0.085          0.064          0.083          
225            0.052          0.055          0.088          0.062          0.083          
226            0.117          0.06           0.095          0.057          0.079          
227            0.129          0.056          0.105          0.061          0.076          
228            0.158          0.061          0.129          0.07           0.081          
229            0.186          0.092          0.216          0.151          0.15           
230            0.211          0.199          0.337          0.312          0.319          
231            0.273          0.341          0.39           0.418          0.41           
232            0.322          0.431          0.395          0.424          0.422          
233            0.306          0.399          0.402          0.416          0.411          
234            0.2            0.249          0.364          0.369          0.365          
235            0.147          0.085          0.243          0.216          0.232          
236            0.112          0.026          0.125          0.093          0.096          
237            0.109          0.025          0.072          0.057          0.053          
238            0.109          0.021          0.054          0.055          0.038          
239            0.107          0.014          0.041          0.05           0.033          
240            0.044          0.013          0.032          0.048          0.029          
241            0.049          0.017          0.033          0.048          0.027          
242            0.03           0.012          0.027          0.046          0.027          
243            0.028          0.005          0.03           0.049          0.027          
244            0.03           0.018          0.026          0.045          0.028          
245            0.03           0.014          0.025          0.04           0.028          
246            0.028          0.015          0.026          0.045          0.031          
247            0.023          0.011          0.036          0.053          0.031          
248            0.052          0.012          0.034          0.059          0.034          
249            0.106          0.025          0.04           0.069          0.035          
250            0.079          0.019          0.057          0.066          0.037          
251            0.074          0.023          0.061          0.069          0.038          
252            0.078          0.019          0.063          0.074          0.038          
253            0.073          0.005          0.071          0.073          0.038          
254            0.028          0.             0.087          0.067          0.036          
255            0.001          0.001          0.105          0.06           0.038          
256            -0.038         0.007          0.094          0.059          0.044          
257            0.012          0.02           0.095          0.056          0.045          
258            0.013          0.017          0.092          0.066          0.047          
259            0.028          0.016          0.082          0.064          0.048          
260            0.054          0.024          0.072          0.057          0.043          
261            0.09           0.022          0.079          0.059          0.042          
262            0.098          0.021          0.087          0.056          0.044          
263            0.123          0.034          0.161          0.082          0.073          
264            0.289          0.149          0.302          0.254          0.224          
265            0.37           0.358          0.401          0.401          0.403          
266            0.407          0.448          0.441          0.421          0.432          
267            0.409          0.448          0.445          0.424          0.429          
268            0.434          0.454          0.451          0.43           0.433          
269            0.448          0.451          0.452          0.42           0.432          
270            0.449          0.454          0.448          0.426          0.426          
271            0.445          0.447          0.452          0.429          0.431          
272            0.445          0.435          0.462          0.429          0.435          
273            0.443          0.412          0.464          0.42           0.438          
274            0.418          0.391          0.462          0.417          0.438          
275            0.418          0.402          0.462          0.408          0.436          
276            0.417          0.407          0.462          0.423          0.437          
277            0.415          0.41           0.454          0.424          0.437          
278            0.41           0.407          0.441          0.424          0.438          
279            0.299          0.394          0.431          0.416          0.427          
280            0.294          0.318          0.388          0.371          0.387          
281            0.246          0.184          0.258          0.279          0.244          
282            0.147          0.061          0.144          0.172          0.097          
283            0.096          0.03           0.088          0.115          0.053          
284            0.058          0.021          0.068          0.098          0.053          
285            0.037          0.024          0.062          0.091          0.053          
286            0.037          0.024          0.063          0.075          0.053          
287            0.037          0.02           0.063          0.069          0.05           
288            0.035          0.032          0.071          0.067          0.055          
289            0.009          0.033          0.072          0.073          0.058          
290            0.009          0.025          0.075          0.073          0.056          
291            0.007          0.032          0.068          0.071          0.061          
292            0.005          0.041          0.061          0.074          0.067          
293            0.068          0.051          0.056          0.08           0.068          
294            0.069          0.055          0.062          0.09           0.07           
295            0.078          0.049          0.068          0.086          0.066          
296            0.088          0.05           0.076          0.079          0.062          
297            0.088          0.061          0.075          0.076          0.071          
298            0.088          0.061          0.075          0.083          0.074          
299            0.105          0.055          0.069          0.093          0.069          
